"tp_licitacao","vl_total_contrato","n_licitacoes_part","n_licitacoes_venceu","montante_lic_venceu","perc_vitoria","media_n_licitacoes_part","media_n_licitacoes_venceu","n_propostas","media_n_propostas","total_ganho","status_tramita","razao_contrato_por_vl_recebido","media_num_contratos","num_contratos"
"3",39150,238,239,0,0.57177033492823,238,33,0,0,35766055.09,"0",0.0010934164432683,59,59
"11",35500,22,25,3103576.5,0.833333333333333,11,17.5,22,11,1699528.85,"0",0.0204607548744795,8,16
"8",26500.2905935049,4.64625711552799,4.64625711552799,383943.917416461,0.942122902928127,1.86815645607809,1.86815645607809,4.64625711552799,1.86815645607809,362899.804921128,"1",0.260880170989674,1.21541903850933,3.64625711552799
"2",2343.78,2,2,166369.77,1,2,2,0,0,4166.72,"0",0.36,1,1
"6",9850,5,10,1398170.54,1,2.5,2.75,2,2,1398170.54,"0",0.00699563658354018,2,4
"11",107539.949430882,36.3336119146552,30.668059573276,0,0.861705227304562,5.89586689307887,5.78602711984681,26.3377906344831,5.26755812689662,2367764.39038233,"1",0.034376290516049,5.48862255274019,31.6647165974136
"3",43495,45,71,5151447.66,0.816091954022989,45,10.875,0,0,3623910.69,"0",0.0118598823464224,29,29
"3",13240,98,134,0,0.779069767441861,19.6,19.4444444444444,40,13.3333333333333,9855560.52,"0",0.00134160174513285,12.4,62
"11",36000,4,6,0,1,1.33333333333333,1.8,4,1.33333333333333,286390,"0",0.11166599460281,1,2
"7",2700,1,6,942316,1,1,1.5,0,0,45719.2,"0",0.0557630031062058,0,0
"0",548878,15,16,3649391.38,0.842105263157895,15,16,0,0,3377247.87,"0",0.139801427201823,12,12
"3",76283.55,154,145,0,0.662100456621005,38.5,22.2222222222222,53,26.5,26733289.32,"0",0.00284538475752299,20.75,83
"6",1500,0,0,0,0,0,0,0,0,1500,"0",0.5,0,0
"7",40194.6518763229,1.77029356337152,2.54058712674305,80635.0639533279,1,1,1,1.77029356337152,1,80635.0639533279,"1",0.358151597788096,0.770293563371524,1.54058712674305
"11",72209.68,104,55,26213562.22,0.514018691588785,34.6666666666667,25,104,34.6666666666667,22395565.82,"0",0.00321392209032888,18,54
"11",15800,2,2,268600,1,1,1,2,1,31600,"0",0.333333333333333,1,1
"11",39315.8397664502,6.65025081858039,3.8834169395268,103258.626081144,0.840517113991682,1.74551920522936,1.27466497034766,3.11884405696765,1.35314067616127,161698.944247207,"1",0.268721983273949,0.353140676161274,1.4125627046451
"11",34947.3363405559,25.7755048961844,21.4140842778143,592324.988602852,0.937170852128475,4.27118359714015,3.86160438137853,14.4035515459254,3.14456824734807,812391.916028032,"1",0.0886005548259823,4.07970428934121,24.4351497415919
"8",13777.1826653962,3.06938951858319,5.01827103295363,0,0.993281202861743,1.26747211464681,2.21761437397799,2.8066098971758,1.27372877229936,326789.442110572,"1",0.0477570467149645,0.328474526759237,1.97084716055542
"3",980,3,4,118422.57,0.666666666666667,3,4,0,0,6340,"0",0.133879781420765,1,1
"11",48513.7722186046,3.07158638467081,2.38105758978054,1377631.88525503,0.827367801277433,1.23017626496342,1,1.69052879489027,1,124831.98137019,"1",0.333744894481331,0.69052879489027,1.38105758978054
"7",6497.12,1,2,13122.98,1,1,1,1,1,13123.7,"0",0.331133968916692,1,1
"2",172279.628052307,11.075117776636,4.43004711065441,0,0.142904745504981,1.84585296277267,0.95984354064179,4.43004711065441,1.1075117776636,413765.614722178,"1",0.244052271389072,0.664507066598162,2.65802826639265
"3",39330.4728609975,17.9177728292998,8.50900480616838,447492.387524685,0.575087895729549,3.17266987077892,1.91816746769473,8.50900480616838,2.12725120154209,349719.902384323,"1",0.106662803126156,1.56212479974298,5.62725120154209
"11",56110,135,68,0,0.755555555555556,45,42.3333333333333,135,45,6551548.22,"0",0.00849166196734673,39,117
